gene_id,symbol,name
ENSG00000184949,FAM227A,family with sequence similarity 227 member A
ENSG00000184967,NOC4L,nucleolar complex associated 4 homolog
ENSG00000184979,USP18,ubiquitin specific peptidase 18
ENSG00000184983,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6
ENSG00000184984,CHRM5,cholinergic receptor muscarinic 5
ENSG00000184985,SORCS2,sortilin related VPS10 domain containing receptor 2
ENSG00000184986,TMEM121,transmembrane protein 121
ENSG00000184988,TMEM106A,transmembrane protein 106A
ENSG00000184990,SIVA1,SIVA1 apoptosis inducing factor
ENSG00000184992,BRI3BP,BRI3 binding protein
ENSG00000184999,SLC22A10,solute carrier family 22 member 10 (gene/pseudogene)
ENSG00000185000,DGAT1,diacylglycerol O-acyltransferase 1
ENSG00000185008,ROBO2,roundabout guidance receptor 2
ENSG00000185009,AP3M1,adaptor related protein complex 3 subunit mu 1
ENSG00000185010,F8,coagulation factor VIII
ENSG00000185013,NT5C1B,"5'-nucleotidase, cytosolic IB"
ENSG00000185015,CA13,carbonic anhydrase 13
ENSG00000185019,UBOX5,U-box domain containing 5
ENSG00000185022,MAFF,MAF bZIP transcription factor F
ENSG00000185024,BRF1,BRF1 general transcription factor IIIB subunit
ENSG00000185028,LRRC14B,leucine rich repeat containing 14B
ENSG00000185031,SLC2A3P2,solute carrier family 2 member 3 pseudogene 2
